id,img,url,Auto focus,Brand,Built-in flash,Dimensions,Focal length (35mm equiv.),ISO,LCD display,LCD size,Max. resolution,Megapixels,Model,Optical zoom,Sensor type,Weight,Year
C35,images/cameras/nikon_coolpix_s6300.png,http://www.digicamdb.com/specs/nikon_coolpix-s6300/,Yes,Nikon,Yes,94x58x26 mm,25 - 250 mm,"Auto, 125, 200, 400, 800, 1600, 3200",Yes,"2.7""",4608 x 3456,16,Coolpix S6300,10x,BSI CMOS,160g,2012
C36,images/cameras/nikon_775.png,http://www.digicamdb.com/specs/nikon_coolpix-775/,Yes,Nikon,Yes,87x67x44 mm,38 - 115 mm,"Auto, (100)",Yes,"1.5""",1600 x 1200,1.9,Coolpix 775,3x,CCD,230g,2001
C37,images/cameras/nikon_l110.png,http://www.digicamdb.com/specs/nikon_coolpix-l110/,Yes,Nikon,Yes,109x74x78 mm,28 - 420 mm,auto,Yes,"3""",4000 x 3000,12.2,Coolpix L110,15x,CCD,406g,2010
C38,images/cameras/nikon_l22.png,http://www.digicamdb.com/specs/nikon_coolpix-l22/,Yes,Nikon,Yes,98x61x28 mm,37 - 134 mm,auto,Yes,"3""",4000 x 3000,12.2,Coolpix L22,3.6x,CCD,183g,2010
C39,images/cameras/nikon_aw110.png,http://www.digicamdb.com/specs/nikon_coolpix-aw110/,Yes,Nikon,Yes,110.1 x 65.3 x 24.5 mm,28 - 140mm,"Auto, 125, 200, 400, 800, 1600, 3200",Yes,"3""",4608 x 3456,16,Coolpix AW110,5x,CMOS,193 g,2013
C40,images/cameras/panasonic_tz5.png,http://www.digicamdb.com/specs/panasonic_lumix-dmc-tz5/,Yes,Panasonic,Yes,103.3x59.3x36.5 mm,28 - 280 mm,"Auto, 100, 200, 400, 800, 1600, 6400",Yes,"3""",3456 x 2592,9.1,Lumix DMC-TZ5,10x,CCD,214g,2008
C41,images/cameras/panasonic_lumix_dmc_zs8.png,http://www.digicamdb.com/specs/panasonic_lumix-dmc-zs8/,Yes,Panasonic,Yes,105x58x33 mm,24 - 384 mm,"Auto, 100, 200, 400, 800, 1600 - 6400",Yes,"3""",4320 x 3240,14.1,Lumix DMC-ZS8,16x,CCD,210g,2011
C42,images/cameras/panasonic_lumix_dmc_ts3.png,http://www.digicamdb.com/specs/panasonic_lumix-dmc-ts3/,Yes,Panasonic,Yes,104x64x27 mm,28 - 128 mm,"Auto, 100, 200, 400, 800, 1600 - 6400",Yes,"2.7""",4000 x 3000,12.1,Lumix DMC-TS3,4.6x,CCD,197g,2011
C43,images/cameras/panasonic_lumix_dmc_ts20.png,http://www.digicamdb.com/specs/panasonic_lumix-dmc-ts20/,Yes,Panasonic,Yes,101x58x19 mm,25 - 100 mm,"Auto, Hi Auto, (1600-6400), 100, 200, 400, 800, 1600",Yes,"2.7""",4608 x 3456,16.1,Lumix DMC-TS20,4x,CCD,142g,2012
C44,images/cameras/panasonic_lumix_dmc_ts4.png,http://www.digicamdb.com/specs/panasonic_lumix-dmc-ts4/,Yes,Panasonic,Yes,103x64x27 mm,28 - 128 mm,"Auto, Hi Auto, (1600-6400), 100, 200, 400, 800, 1600",Yes,"2.7""",4000 x 3000,12.1,Lumix DMC-TS4,4.6x,CCD,197g,2012
C45,images/cameras/rollei_sportsline_60.png,http://www.digicamdb.com/specs/rollei_sportsline-60-camouflage/,No,Rollei,Yes,90.3x63x25.3 mm,other mm,auto,Yes,"2.4""",2592 x 1944,5,Sportsline 60 Camouflage,No,CMOS,98g,2011
C46,images/cameras/samsung_wb250f.png,http://www.digicamdb.com/specs/samsung_wb250f/,Yes,Samsung,Yes,107 x 62 x 22 mm,24 - 432 mm,"Auto, 100, 200, 400, 800, 1600, 3200",Yes,"3""",4320 x 3240,14.2,WB250F,18x,BSI CMOS,226 g,2013
C47,images/cameras/sony_cybershot_dsc_wx150.png,http://www.digicamdb.com/specs/sony_cybershot-dsc-wx150/,Yes,Sony,Yes,95x56x22 mm,25 - 250 mm,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800",Yes,"3""",4896 x 3672,18.2,Cybershot DSC WX150,10x,BSI CMOS,133g,2012
C48,images/cameras/sony_cybershot_dsc_tx20.png,http://www.digicamdb.com/specs/sony_cybershot-dsc-tx20/,Yes,Sony,Yes,96x56x18 mm,25 - 100 mm,auto,Yes,"3""",4608 x 3456,16.1,Cybershot DSC TX20,4x,Exmor R CMOS,133g,2012
C49,images/cameras/sony_cybershot_dsc_w290.png,http://www.digicamdb.com/specs/sony_cybershot-dsc-w290/,Yes,Sony,Yes,98x57x23 mm,28 - 140 mm,Auto,Yes,"3""",4000 x 3000,12.1,Cybershot DSC W290,5x,CCD,145g,2009
C50,images/cameras/sony_bloggie-touch-mhs-ts10.jpg,http://www.cnet.com/products/sony-bloggie-touch-mhs-ts/specs/,n/a,Sony,n/a,51.0 x 107.0 x 15.0 mm,n/a,ISO auto (80-1600),n/a,n/a,n/a,n/a,Bloggie Touch MHS-TS10 (Silver),n/a,n/a,125.0 g,n/a
