id,img,url,Aperture,Aperture (35mm equiv.),Aperture priority,Auto focus,Batteries,Brand,Built-in flash,Crop factor,Digital zoom,Dimensions,Exposure Compensation,External flash,Flash modes,Focal length (35mm equiv.),ISO,LCD display,LCD resolution,LCD size,Macro focus range,Manual focus,Max. resolution,Max. shutter speed,Megapixels,Metering,Min. resolution,Min. shutter speed,Model,Normal focus range,Optical zoom,Selftimer,Sensor resolution,Sensor size,Sensor type,Shutter priority,Storage types,USB,Viewfinder,Weight,White balance presets,Year
C23,images/cameras/gopro_Hero3-Plus-Silver-Edition.jpg,http://www.cnet.com/products/gopro-hero3-plus-silver-edition/specs/,n/a,n/a,n/a,n/a,n/a,GoPro,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"matrix,spot",n/a,n/a,Hero3+ Silver Edition,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"microSD Card,microSDHC Card,microSDXC Card",n/a,n/a,74.0 g,n/a,n/a
C24,images/cameras/kodak_z990.png,http://www.digicamdb.com/specs/kodak_easyshare-z990/,f2.8 - f5.6,f15.9 - f31.9,Yes,Yes,AA (4) batteries (NiMH Rechargeable batteries),Kodak,Yes,5.69,Yes,124x91x105 mm,&#177;2 EV (at 1/3 EV steps),No,"Auto, Fill-in, Red-Eye reduction, Off",28 - 840 mm,"Auto, 125, 200, 400, 800, 1600, 3200 and 6400",Yes,"460,000","3""",1 cm,Yes,4000 x 3000,1/2000 sec,12.00,"Multi, Center-weighted, Spot",2048 x 1536,16 sec,EasyShare Z990,70 cm,30x,Yes,3995 x 3004,"1/2.33"" (~ 6.08 x 4.56 mm)",BSI CMOS,Yes,"SD/SDHC card, Internal",USB 2.0 (480 Mbit/sec),Electronic,445g,4,2011
C25,images/cameras/kodak_LS443.png,http://www.digicamdb.com/specs/kodak_ls443/,f2.8 - f9.6,f18.2 - f62.4,No,Yes,"Kodak Lithium-Ion, dock & charger (included)",Kodak,Yes,6.5,Yes,109x62x38 mm,&#177;2 EV (at 1/2 EV steps),No,"Auto, Fill-in, Red-Eye reduction, Off",35 - 105 mm,"Auto, 100, 200, 400",Yes,"134,000","1.8""",13 cm,No,2448 x 1632,1/1000 sec,4.00,"Multi, Center-weighted, Spot",1224 x 816,4 sec,LS443,70 cm,3x,Yes,2306 x 1734,"1/2.7"" (~ 5.33 x 4 mm)",CCD,No,"SD/MMC card, Internal",USB 1.0 (1.5 Mbit/sec),Optical (tunnel),260g,4,2002
C26,images/cameras/kodak_Zi8.jpg,http://www.cnet.com/products/kodak-zi8-pocket-video-camera/specs/,n/a,n/a,n/a,n/a,Kodak KLIC 7004,Kodak,n/a,n/a,n/a,61.0 x 112.0 x 23.0 mm,n/a,n/a,n/a,n/a,ISO auto (50-800),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Zi8 Pocket Video Camera (Raspberry),n/a,n/a,n/a,n/a,"1/2.5""",n/a,n/a,SD Memory Card,n/a,n/a,111.0 g,n/a,n/a
C27,images/cameras/kodak_easyshare_c195.png,http://www.digicamdb.com/specs/kodak_easyshare-c195/,n/a,n/a,No,Yes,2x AA,Kodak,Yes,5.62,Yes,96.3x61.7x30.1 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off",33 - 165 mm,"Auto, 64, 100, 200, 400, 800, 1000",Yes,"230,000","3""",10 cm,No,4288 x 3216,1/1400 sec,14.50,"Centre weighted, Multi-segment",1280 x 960,1/4 sec,EasyShare C195,50 cm,Yes,Yes,4392 x 3302,"1/2.3"" (~ 6.16 x 4.62 mm)",CCD,No,"SDHC, Secure Digital",USB 2.0 Hi-Speed,None,177g,5,2010
C28,images/cameras/nikon_d3100.png,http://www.digicamdb.com/specs/nikon_d3100/,n/a,n/a,Yes,Yes,Lithium-Ion EN-EL14 rechargeable battery & charger,Nikon,Yes,1.56,No,124 x 96 x 75 mm,±5 EV (at 1/3 EV steps),Yes,"Anti red-eye, Auto, Fill in, Off, Rear curtin, Slow flash",n/a,"Auto, 100, 200, 400, 800, 1600, 3200 (12800 with boost)",Yes,"230,000","3""",n/a,Yes,4608 x 3072,1/4000 sec,14.20,"Multi, Center-weighted, Average",2304 x 1536,30 sec,D3100,n/a,n/a,Yes,4616 x 3077,23.1 x 15.4 mm,CMOS,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),Optical (pentamirror),505 g,12,2010
C29,images/cameras/nikon_d3200.png,http://www.digicamdb.com/specs/nikon_d3200/,n/a,n/a,Yes,Yes,Lithium-Ion EN-EL14 rechargeable battery & charger,Nikon,Yes,1.55,No,125x96x77 mm,&#177;5 EV (at 1/3 EV steps),Yes,"Auto, Red-Eye, Slow, Red-Eye Slow, Rear curtain",n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400 (12800 with boost)",Yes,"921,000","3""",n/a,Yes,6016 x 4000,1/4000 sec,24.20,"Multi, Center-weighted, Spot AF-area",3008 x 2000,30 sec,D3200,n/a,n/a,Yes,6045 x 4003,23.2 x 15.4 mm,CMOS,Yes,SD/SDHC/SDXC UHS-I compliant,USB 2.0 (480 Mbit/sec),Optical (pentamirror),505g,12,2012
C30,images/cameras/nikon_coolpix_p510.png,http://www.digicamdb.com/specs/nikon_coolpix-p510/,f3.3 - f5.9,f18.5 - f33.2,Yes,Yes,Nikon EN-EL5 Lithium-Ion battery,Nikon,Yes,5.62,Yes,120x83x102 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off, Slow flash",24 - 1000 mm,"Auto, 100, 200, 400, 800, 1600, 2000, 3200",Yes,"921,000","3""",2 cm,No,4608 x 3456,1/8000 sec,16.10,"Centre weighted, Multi-segment, Spot",640 x 480,30 sec,Coolpix P510,30 cm,42x,Yes,4627 x 3479,"1/2.3"" (~ 6.16 x 4.62 mm)",CMOS,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),Electronic,555g,7,2012
C31,images/cameras/nikon_d7000.png,http://www.digicamdb.com/specs/nikon_d7000/,n/a,n/a,Yes,Yes,Lithium-IonEN-EL15 rechargeable battery & charger,Nikon,Yes,1.53,No,132 x 105 x 77 mm,-5EV - +5EV with 1/3 or 1/2 step,Yes,"Anti red-eye, Auto, Fill in, Off, Rear curtin, Slow flash",n/a,"100 - 6400 in 1, 1/2 or 1/3 EV steps (100 - 25600 with boost)",Yes,"921,000","3""",n/a,Yes,4928 x 3264,1/8000 sec,16.20,"3D Matrix metering II, Centre weighted, Spot",2464 x 1632,30 sec,D7000,n/a,n/a,Yes,4945 x 3275,23.6 x 15.6 mm,CMOS,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),Optical (pentaprism),780 g,12,2010
C32,images/cameras/nikon_d800.png,http://www.digicamdb.com/specs/nikon_d800/,n/a,n/a,Yes,Yes,Lithium-IonEN-EL15 rechargeable battery & charger,Nikon,Yes,1,Yes,146x123x82 mm,"-5EV - +5EV with 1, 1/2 or 1/3 s",Yes,"Anti red-eye, Auto, Fill in, Front curtin, Off, Rear curtin, Slow flash",n/a,"Auto, 100 - 6400",Yes,"921,000","3.2""",n/a,Yes,7360 x 4912,1/8000 sec,36.30,"3D Matrix metering II, Centre weighted, Multi-segment, Spot",2400 x 1600,Bulb+30 sec,D800,n/a,n/a,Yes,7379 x 4919,35.9 x 24 mm,CMOS,Yes,"CompactFlash type I, SDHC, SDXC, Secure Digital",USB 3.0 (5 GBit/sec),Optical (pentaprism),900g,12,2012
